waveform	[0]	[1]	[2]
t0	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400
delta t	4.980000E-5	4.980000E-5	4.980000E-5

time	Y[0]	Y[1]	Y[2]
2023-02-25  12:35:45.059498	4.504395E+1	6.103516E-2	5.314941E+1
2023-02-25  12:35:45.059547	4.505615E+1	9.765625E-2	5.297852E+1
2023-02-25  12:35:45.059597	4.506226E+1	-6.103516E-3	5.317383E+1
2023-02-25  12:35:45.059647	4.506836E+1	7.324219E-2	5.291748E+1
2023-02-25  12:35:45.059697	4.506226E+1	6.103516E-2	5.302734E+1
2023-02-25  12:35:45.059747	4.517212E+1	4.272461E-2	5.299072E+1
2023-02-25  12:35:45.059796	4.499512E+1	1.403809E-1	5.302734E+1
2023-02-25  12:35:45.059846	4.498291E+1	7.324219E-2	5.312500E+1
2023-02-25  12:35:45.059896	4.505615E+1	4.272461E-2	5.316772E+1
2023-02-25  12:35:45.059946	4.514771E+1	4.272461E-2	5.302734E+1
2023-02-25  12:35:45.059996	4.519653E+1	5.493164E-2	5.304565E+1
2023-02-25  12:35:45.060045	4.522095E+1	6.103516E-2	5.310669E+1
2023-02-25  12:35:45.060095	4.517822E+1	2.441406E-2	5.302734E+1
2023-02-25  12:35:45.060145	4.529419E+1	7.934570E-2	5.307007E+1
2023-02-25  12:35:45.060195	4.501343E+1	4.882812E-2	5.308228E+1
2023-02-25  12:35:45.060245	4.508057E+1	2.441406E-2	5.306396E+1
2023-02-25  12:35:45.060294	4.509888E+1	4.272461E-2	5.307617E+1
2023-02-25  12:35:45.060344	4.513550E+1	1.831055E-2	5.298462E+1
2023-02-25  12:35:45.060394	4.511108E+1	6.103516E-2	5.306396E+1
2023-02-25  12:35:45.060444	4.501953E+1	8.544922E-2	5.297241E+1
2023-02-25  12:35:45.060494	4.511108E+1	4.272461E-2	5.302734E+1
2023-02-25  12:35:45.060543	4.526978E+1	6.103516E-2	5.289917E+1
2023-02-25  12:35:45.060593	4.516602E+1	6.103516E-2	5.300293E+1
2023-02-25  12:35:45.060643	4.520264E+1	6.103516E-3	5.297852E+1
2023-02-25  12:35:45.060693	4.524536E+1	6.103516E-2	5.304565E+1
2023-02-25  12:35:45.060743	4.512329E+1	4.882812E-2	5.297241E+1
2023-02-25  12:35:45.060792	4.518433E+1	6.713867E-2	5.299072E+1
2023-02-25  12:35:45.060842	4.508057E+1	3.051758E-2	5.303345E+1
2023-02-25  12:35:45.060892	4.489746E+1	5.493164E-2	5.289307E+1
2023-02-25  12:35:45.060942	4.506226E+1	6.713867E-2	5.306396E+1
2023-02-25  12:35:45.060992	4.506836E+1	6.103516E-2	5.293579E+1
2023-02-25  12:35:45.061041	4.515991E+1	4.272461E-2	5.306396E+1
2023-02-25  12:35:45.061091	4.503174E+1	6.103516E-2	5.314331E+1
2023-02-25  12:35:45.061141	4.512939E+1	6.103516E-2	5.298462E+1
2023-02-25  12:35:45.061191	4.495850E+1	4.882812E-2	5.313110E+1
2023-02-25  12:35:45.061241	4.512329E+1	8.544922E-2	5.299683E+1
2023-02-25  12:35:45.061290	4.508057E+1	2.441406E-2	5.296021E+1
2023-02-25  12:35:45.061340	4.510498E+1	5.493164E-2	5.304565E+1
2023-02-25  12:35:45.061390	4.519043E+1	6.103516E-2	5.311279E+1
2023-02-25  12:35:45.061440	4.506226E+1	3.662109E-2	5.299683E+1
2023-02-25  12:35:45.061490	4.508667E+1	6.103516E-2	5.304565E+1
2023-02-25  12:35:45.061539	4.520874E+1	3.662109E-2	5.298462E+1
2023-02-25  12:35:45.061589	4.512939E+1	5.493164E-2	5.305176E+1
2023-02-25  12:35:45.061639	4.508057E+1	6.713867E-2	5.297241E+1
2023-02-25  12:35:45.061689	4.514160E+1	3.051758E-2	5.298462E+1
2023-02-25  12:35:45.061739	4.509277E+1	6.103516E-2	5.307007E+1
2023-02-25  12:35:45.061788	4.531250E+1	4.882812E-2	5.300293E+1
2023-02-25  12:35:45.061838	4.528809E+1	4.882812E-2	5.299683E+1
2023-02-25  12:35:45.061888	4.500122E+1	6.103516E-2	5.308228E+1
2023-02-25  12:35:45.061938	4.511108E+1	6.713867E-2	5.309448E+1
2023-02-25  12:35:45.061988	4.519653E+1	4.272461E-2	5.308838E+1
2023-02-25  12:35:45.062037	4.530029E+1	6.103516E-2	5.316162E+1
2023-02-25  12:35:45.062087	4.508667E+1	4.882812E-2	5.288696E+1
2023-02-25  12:35:45.062137	4.499512E+1	5.493164E-2	5.300293E+1
2023-02-25  12:35:45.062187	4.501343E+1	4.272461E-2	5.296631E+1
2023-02-25  12:35:45.062237	4.508667E+1	5.493164E-2	5.305176E+1
2023-02-25  12:35:45.062286	4.490356E+1	4.272461E-2	5.308838E+1
2023-02-25  12:35:45.062336	4.496460E+1	3.051758E-2	5.300903E+1
2023-02-25  12:35:45.062386	4.490356E+1	6.713867E-2	5.307617E+1
2023-02-25  12:35:45.062436	4.503784E+1	7.324219E-2	5.303955E+1
2023-02-25  12:35:45.062486	4.495239E+1	7.324219E-2	5.314941E+1
2023-02-25  12:35:45.062535	4.507446E+1	3.662109E-2	5.313721E+1
2023-02-25  12:35:45.062585	4.510498E+1	4.272461E-2	5.294189E+1
2023-02-25  12:35:45.062635	4.524536E+1	6.713867E-2	5.301514E+1
2023-02-25  12:35:45.062685	4.509888E+1	4.272461E-2	5.306396E+1
2023-02-25  12:35:45.062735	4.529419E+1	4.882812E-2	5.303345E+1
2023-02-25  12:35:45.062784	4.511108E+1	6.103516E-2	5.319824E+1
2023-02-25  12:35:45.062834	4.530640E+1	4.882812E-2	5.314941E+1
2023-02-25  12:35:45.062884	4.507446E+1	5.493164E-2	5.298462E+1
